Symbol,HedgeFlag,Long,LongAvail,LongCost,Short,ShortAvail,ShortCost,RedPurAvailable,DayLong,DayShort,YdLongRemain,YdShortRemain,PreQuota,Quota,Trading?PL,Position?PL,Total?PL,Total?Stocks?Value,Total?Future?Value,Delta,Gamma,Vega,Theta,Undl,C/P,Expire,Strike,StrategyGroup,Strategy,SubStrategy,Account
al1711?SHF,SPECULATION,0,0,0,1,1,16410,0,0,1,0,0,0,0,-425,0,-425,0,0,-82475,0,0,0,al1711?SHF,NA,NA,0,AMACD,al_5min_para2_2,al_5min_para2_2-AMACD-All_Weather_1-@172.16.10.182:17103,All_Weather_1
al1711?SHF,SPECULATION,0,0,0,1,1,16410,0,0,1,0,0,0,0,-425,0,-425,0,0,-82475,0,0,0,al1711?SHF,NA,NA,0,AMACD,al_5min_para2_2,al_5min_para2_2-AMACD-All_Weather_2-@172.16.10.182:17103,All_Weather_2
al1711?SHF,SPECULATION,0,0,0,1,1,16410,0,0,1,0,0,0,0,-425,0,-425,0,0,-82475,0,0,0,al1711?SHF,NA,NA,0,AMACD,al_5min_para2_2,al_5min_para2_2-AMACD-All_Weather_3-@172.16.10.182:17103,All_Weather_3
al1711?SHF,SPECULATION,0,0,0,2,2,16400,0,0,2,0,0,0,0,-950,0,-950,0,0,-164950,0,0,0,al1711?SHF,NA,NA,0,AMACD,al_5min_para2_2,al_5min_para2_2-AMACD-steady_return-@172.16.10.119:17103,steady_return
al1711?SHF,SPECULATION,0,0,0,1,1,16400,0,0,1,0,0,0,0,-475,0,-475,0,0,-82475,0,0,0,al1711?SHF,NA,NA,0,AMACD,al_5min_para2_2,al_5min_para2_2-AMACD-All_Weather-@172.16.10.125:17103,All_Weather
MA801?ZCE,SPECULATION,0,0,0,1,1,2874,0,0,0,0,1,0,0,0,-50,-50,0,0,-27000,0,0,0,MA801?ZCE,NA,NA,0,AMACD,ma_5min_para1_1,ma_5min_para1_1-AMACD-All_Weather_1-@172.16.10.182:17103,All_Weather_1
MA801?ZCE,SPECULATION,0,0,0,2,2,2874,0,0,0,0,2,0,0,0,-100,-100,0,0,-54000,0,0,0,MA801?ZCE,NA,NA,0,AMACD,ma_5min_para1_1,ma_5min_para1_1-AMACD-All_Weather_2-@172.16.10.182:17103,All_Weather_2
MA801?ZCE,SPECULATION,0,0,0,2,2,2874,0,0,0,0,2,0,0,0,-100,-100,0,0,-54000,0,0,0,MA801?ZCE,NA,NA,0,AMACD,ma_5min_para1_1,ma_5min_para1_1-AMACD-All_Weather_3-@172.16.10.182:17103,All_Weather_3
MA801?ZCE,SPECULATION,0,0,0,5,5,57.44,0,0,0,0,5,0,0,0,-250,-250,0,0,-135000,0,0,0,MA801?ZCE,NA,NA,0,AMACD,ma_5min_para1_1,ma_5min_para1_1-AMACD-steady_return-@172.16.10.119:17103,steady_return
MA801?ZCE,SPECULATION,0,0,0,1,1,2897,0,0,0,0,1,0,0,0,-50,-50,0,0,-27000,0,0,0,MA801?ZCE,NA,NA,0,AMACD,ma_5min_para2_1,ma_5min_para2_1-AMACD-All_Weather_1-@172.16.10.182:17103,All_Weather_1
